"","ibge","week","year","municipality","population","deaths","likely_cases","cases_pcap","deaths_pcap","Years.Range"
"265","130260","25",2014,"130260 MANAUS",2020301,0,38,1.88090784492014,0,"2014/2015"
"266","130260","25",2015,"130260 MANAUS",2057711,0,18,0.874758408736698,0,"2015/2016"
"267","130260","25",2016,"130260 MANAUS",2094391,0,129,6.15930836219216,0,"2016/2017"
"268","130260","25",2017,"130260 MANAUS",2130264,0,43,2.01852915882726,0,"2017/2018"
"269","130260","25",2018,"130260 MANAUS",2145444,0,48,2.23729913248726,0,"2018/2019"
"270","130260","25",2019,"130260 MANAUS",2182763,0,17,0.778829401084772,0,"2019/2020"
"271","130260","25",2020,"130260 MANAUS",2219580,0,37,1.66698204164752,0,"2020/2021"
"272","130260","25",2021,"130260 MANAUS",2255903,0,107,4.74311173840365,0,"2021/2022"
"273","130260","25",2022,"130260 MANAUS",2054731,0,17,0.827358909755097,0,"2022/2023"
"274","130260","25",2023,"130260 MANAUS",2063689,0,23,1.11450901758938,0,"2023/2024"
"275","130260","25",2024,"130260 MANAUS",2279686,0,22,0.965045186047552,0,"2024/2025"
"276","130260","26",2014,"130260 MANAUS",2020301,0,62,3.0688496417118,0,"2014/2015"
"277","130260","26",2015,"130260 MANAUS",2057711,0,38,1.84671219622192,0,"2015/2016"
"278","130260","26",2016,"130260 MANAUS",2094391,0,94,4.48817818640359,0,"2016/2017"
"279","130260","26",2017,"130260 MANAUS",2130264,0,29,1.36133361874397,0,"2017/2018"
"280","130260","26",2018,"130260 MANAUS",2145444,0,30,1.39831195780454,0,"2018/2019"
"281","130260","26",2019,"130260 MANAUS",2182763,0,17,0.778829401084772,0,"2019/2020"
"282","130260","26",2020,"130260 MANAUS",2219580,0,21,0.9461249425567,0,"2020/2021"
"283","130260","26",2021,"130260 MANAUS",2255903,0,115,5.09773691510672,0,"2021/2022"
"284","130260","26",2022,"130260 MANAUS",2054731,0,11,0.53534988278271,0,"2022/2023"
"285","130260","26",2023,"130260 MANAUS",2063689,0,13,0.629939879507038,0,"2023/2024"
"286","130260","26",2024,"130260 MANAUS",2279686,0,14,0.614119663848442,0,"2024/2025"
"287","130260","27",2014,"130260 MANAUS",2020301,0,36,1.7819126951875,0,"2014/2015"
"288","130260","27",2015,"130260 MANAUS",2057711,0,27,1.31213761310505,0,"2015/2016"
"289","130260","27",2016,"130260 MANAUS",2094391,0,66,3.15127404577273,0,"2016/2017"
"290","130260","27",2017,"130260 MANAUS",2130264,0,23,1.0796783872797,0,"2017/2018"
"291","130260","27",2018,"130260 MANAUS",2145444,0,17,0.792376776089238,0,"2018/2019"
"292","130260","27",2019,"130260 MANAUS",2182763,0,5,0.229067470907286,0,"2019/2020"
